Id_Registro;fecha_infraccion;Año;Mes;Id_Tipo;id_canton;Id_Provincia;Id_Arma;Id_Motivacion
24;2014-01-04;2014;ENERO;1;9;7;1;2
62;2014-01-13;2014;ENERO;2;9;7;3;1
22;2014-01-03;2014;ENERO;3;61;10;1;2
194;2014-02-12;2014;FEBRERO;2;61;10;3;1
23;2014-01-03;2014;ENERO;2;86;17;3;1
42;2014-01-09;2014;ENERO;2;86;17;5;1
68;2014-01-14;2014;ENERO;2;86;17;5;1
117;2014-01-23;2014;ENERO;2;86;17;5;1
150;2014-01-31;2014;ENERO;1;86;17;2;1
87;2014-01-18;2014;ENERO;1;13;13;1;1
41;2014-01-09;2014;ENERO;1;14;13;1;2
129;2014-01-27;2014;ENERO;1;14;13;1;2
151;2014-01-31;2014;ENERO;1;14;13;1;2
156;2014-02-01;2014;FEBRERO;2;14;13;3;2
66;2014-01-14;2014;ENERO;1;21;13;1;2
27;2014-01-04;2014;ENERO;1;59;10;1;1
65;2014-01-14;2014;ENERO;3;59;10;1;2
114;2014-01-22;2014;ENERO;3;59;10;1;2
181;2014-02-07;2014;FEBRERO;1;59;10;1;1
29;2014-01-04;2014;ENERO;2;100;7;1;3
45;2014-01-10;2014;ENERO;1;100;7;2;1
108;2014-01-21;2014;ENERO;1;100;7;1;2
133;2014-01-28;2014;ENERO;1;100;7;5;2
208;2014-02-15;2014;FEBRERO;2;100;7;5;2
30;2014-01-05;2014;ENERO;2;210;13;1;3
217;2014-02-19;2014;FEBRERO;1;210;13;1;2
33;2014-01-05;2014;ENERO;2;182;14;1;1
175;2014-02-07;2014;FEBRERO;1;182;14;1;1
190;2014-02-09;2014;FEBRERO;2;182;14;2;1
34;2014-01-06;2014;ENERO;1;153;23;1;1
101;2014-01-20;2014;ENERO;1;153;23;1;1
36;2014-01-07;2014;ENERO;1;191;22;1;2
79;2014-01-16;2014;ENERO;1;191;22;1;1
98;2014-01-20;2014;ENERO;2;191;22;1;2
105;2014-01-21;2014;ENERO;2;191;22;6;2
126;2014-01-26;2014;ENERO;2;191;22;1;2
168;2014-02-04;2014;FEBRERO;1;191;22;1;1
183;2014-02-07;2014;FEBRERO;2;191;22;1;2
202;2014-02-14;2014;FEBRERO;2;191;22;1;1
211;2014-02-16;2014;FEBRERO;2;191;22;2;1
219;2014-02-20;2014;FEBRERO;2;191;22;1;2
38;2014-01-08;2014;ENERO;1;53;14;1;1
140;2014-01-30;2014;ENERO;1;53;14;1;2
164;2014-02-02;2014;FEBRERO;2;53;14;2;2
39;2014-01-08;2014;ENERO;1;173;8;1;2
72;2014-01-15;2014;ENERO;1;173;8;1;2
89;2014-01-19;2014;ENERO;1;173;8;1;2
90;2014-01-19;2014;ENERO;1;173;8;1;2
91;2014-01-19;2014;ENERO;1;173;8;1;2
99;2014-01-20;2014;ENERO;1;173;8;1;2
100;2014-01-20;2014;ENERO;1;173;8;1;2
102;2014-01-20;2014;ENERO;1;173;8;1;2
130;2014-01-27;2014;ENERO;1;173;8;1;1
137;2014-01-30;2014;ENERO;1;173;8;1;2
157;2014-02-01;2014;FEBRERO;1;173;8;1;1
188;2014-02-08;2014;FEBRERO;1;173;8;1;1
43;2014-01-09;2014;ENERO;2;101;14;1;2
46;2014-01-10;2014;ENERO;1;101;14;1;1
132;2014-01-28;2014;ENERO;1;101;14;2;3
138;2014-01-30;2014;ENERO;1;101;14;1;1
145;2014-01-31;2014;ENERO;2;101;14;1;2
44;2014-01-10;2014;ENERO;2;115;10;2;1
85;2014-01-18;2014;ENERO;2;115;10;1;1
94;2014-01-20;2014;ENERO;1;115;10;1;2
116;2014-01-23;2014;ENERO;1;115;10;1;2
139;2014-01-30;2014;ENERO;1;115;10;1;2
199;2014-02-14;2014;FEBRERO;1;115;10;2;2
78;2014-01-16;2014;ENERO;1;45;10;2;3
47;2014-01-10;2014;ENERO;1;111;15;4;1
48;2014-01-11;2014;ENERO;1;163;8;1;2
169;2014-02-04;2014;FEBRERO;1;163;8;1;2
214;2014-02-17;2014;FEBRERO;1;163;8;1;2
50;2014-01-11;2014;ENERO;1;213;13;1;2
84;2014-01-17;2014;ENERO;1;51;10;3;1
193;2014-02-11;2014;FEBRERO;1;51;10;2;1
52;2014-01-12;2014;ENERO;1;178;11;5;2
53;2014-01-12;2014;ENERO;1;186;1;1;2
54;2014-01-12;2014;ENERO;1;211;13;1;2
76;2014-01-16;2014;ENERO;2;211;13;1;2
124;2014-01-26;2014;ENERO;1;211;13;2;2
61;2014-01-13;2014;ENERO;2;78;7;2;1
93;2014-01-19;2014;ENERO;1;78;7;1;2
127;2014-01-27;2014;ENERO;2;78;7;2;2
67;2014-01-14;2014;ENERO;1;112;8;1;3
69;2014-01-14;2014;ENERO;1;88;6;2;3
70;2014-01-14;2014;ENERO;1;88;6;2;3
77;2014-01-16;2014;ENERO;1;131;7;1;2
146;2014-01-31;2014;ENERO;2;79;11;3;2
185;2014-02-08;2014;FEBRERO;1;82;14;1;2
110;2014-01-22;2014;ENERO;2;89;4;3;1
167;2014-02-04;2014;FEBRERO;2;89;4;1;2
191;2014-02-09;2014;FEBRERO;2;89;4;2;1
207;2014-02-15;2014;FEBRERO;2;89;4;2;1
107;2014-01-21;2014;ENERO;1;93;6;4;4
213;2014-02-16;2014;FEBRERO;1;99;12;1;2
163;2014-02-02;2014;FEBRERO;1;106;13;1;1
176;2014-02-07;2014;FEBRERO;1;106;13;1;2
113;2014-01-22;2014;ENERO;2;143;10;5;3
123;2014-01-26;2014;ENERO;1;119;17;1;1
171;2014-02-05;2014;FEBRERO;2;120;11;5;2
160;2014-02-02;2014;FEBRERO;1;124;13;2;2
131;2014-01-27;2014;ENERO;1;169;10;1;1
134;2014-01-28;2014;ENERO;1;159;8;2;2
142;2014-01-30;2014;ENERO;1;159;8;1;2
170;2014-02-05;2014;FEBRERO;2;159;8;2;1
205;2014-02-15;2014;FEBRERO;1;159;8;1;2
197;2014-02-14;2014;FEBRERO;2;135;14;1;2
195;2014-02-12;2014;FEBRERO;2;137;19;2;2
187;2014-02-08;2014;FEBRERO;1;138;19;1;1
189;2014-02-09;2014;FEBRERO;1;145;14;1;2
148;2014-01-31;2014;ENERO;2;168;10;1;2
153;2014-02-01;2014;FEBRERO;1;148;13;3;2
158;2014-02-02;2014;FEBRERO;1;160;13;2;2
159;2014-02-02;2014;FEBRERO;1;212;13;1;2
210;2014-02-16;2014;FEBRERO;1;212;13;1;1
166;2014-02-03;2014;FEBRERO;2;195;23;1;5
204;2014-02-14;2014;FEBRERO;2;166;6;2;1
209;2014-02-15;2014;FEBRERO;1;167;20;1;1
192;2014-02-11;2014;FEBRERO;1;205;16;2;2
198;2014-02-14;2014;FEBRERO;1;196;6;3;1
220;2014-02-21;2014;FEBRERO;1;90;23;1;1
221;2014-02-21;2014;FEBRERO;1;55;7;1;2
222;2014-02-21;2014;FEBRERO;1;93;6;3;1
223;2014-02-21;2014;FEBRERO;2;88;6;3;1
224;2014-02-21;2014;FEBRERO;1;51;10;1;1
225;2014-02-21;2014;FEBRERO;1;191;22;1;1
226;2014-02-22;2014;FEBRERO;1;3;5;2;1
227;2014-02-22;2014;FEBRERO;1;76;10;5;1
228;2014-02-22;2014;FEBRERO;2;44;11;3;2
229;2014-02-23;2014;FEBRERO;1;24;1;1;2
230;2014-02-23;2014;FEBRERO;1;62;8;1;2
231;2014-02-23;2014;FEBRERO;1;21;13;1;1
232;2014-02-23;2014;FEBRERO;1;168;10;2;1
233;2014-02-23;2014;FEBRERO;2;76;10;1;2
234;2014-02-23;2014;FEBRERO;2;161;19;1;2
235;2014-02-24;2014;FEBRERO;2;132;18;3;4
236;2014-02-24;2014;FEBRERO;1;76;10;1;2
237;2014-02-24;2014;FEBRERO;2;44;11;3;1
238;2014-02-24;2014;FEBRERO;2;213;13;3;3
239;2014-02-24;2014;FEBRERO;1;76;10;1;1
240;2014-02-25;2014;FEBRERO;1;213;13;1;1
241;2014-02-25;2014;FEBRERO;2;136;10;1;2
242;2014-02-25;2014;FEBRERO;2;161;19;2;2
243;2014-02-26;2014;FEBRERO;2;61;10;1;2
244;2014-02-27;2014;FEBRERO;1;100;7;5;2
245;2014-02-27;2014;FEBRERO;2;161;19;1;1
246;2014-02-27;2014;FEBRERO;4;161;19;2;3
247;2014-02-27;2014;FEBRERO;2;79;11;5;2
248;2014-02-28;2014;FEBRERO;1;90;23;2;1
249;2014-02-28;2014;FEBRERO;1;46;1;5;2
250;2014-02-28;2014;FEBRERO;2;161;19;2;1
251;2014-02-28;2014;FEBRERO;2;161;19;2;2
252;2014-02-28;2014;FEBRERO;1;14;13;1;2
253;2014-03-01;2014;MARZO;1;24;1;1;1
254;2014-03-01;2014;MARZO;2;131;7;2;2
255;2014-03-01;2014;MARZO;2;79;11;1;3
256;2014-03-01;2014;MARZO;1;119;17;2;3
257;2014-03-02;2014;MARZO;2;161;19;2;2
258;2014-03-02;2014;MARZO;2;17;10;2;1
259;2014-03-02;2014;MARZO;2;17;10;2;1
260;2014-03-02;2014;MARZO;2;14;13;2;2
261;2014-03-02;2014;MARZO;1;76;10;1;1
